,Name,Size_Org,Size_ReS,Size_AE,Size_PCA,SSIM_PCA,SSIM_AE,PSNR_PCA,PSNR_AE
142,6512.jpg,5054,152,68,79,0.8822005371082495,0.7391756659677974,32.3096177421328,28.305543925830918
143,8074.jpg,5165,137,64,70,0.902183637009239,0.8133554218852427,33.344517944508176,29.713522871966546
144,9040.jpg,5098,127,57,66,0.91679116706754,0.8316459683489579,33.617793480733525,29.740774348520638
145,6628.jpg,7725,130,64,68,0.9114194502591916,0.8358291398898071,34.279346536532586,30.727052747342185
146,6600.jpg,6751,87,41,44,0.9352528199696316,0.8909375316529149,36.953594395205,30.72185075545363
147,7808.jpg,5240,110,54,60,0.9222641782734656,0.8207309186409566,27.80883392567715,27.635431098102252
148,8775.jpg,5181,143,65,77,0.9199578859488192,0.8169449473148016,33.18186975521953,29.247348684214035
149,8967.jpg,5091,115,52,60,0.9198431431778161,0.8430934163154525,34.54695731057535,30.433228197473934
150,7697.jpg,5576,75,35,38,0.9446937099469332,0.8919826485475975,37.9323093530159,32.84347030089076
151,9925.jpg,4957,149,68,79,0.9133204136364388,0.814556821656304,32.7364472253623,29.233530506289544
152,6742.jpg,5206,122,52,63,0.9164201272217921,0.8212823639468647,33.63156233914168,30.78055129152809
153,8524.jpg,5086,162,77,85,0.8912407395299216,0.7722985445350857,32.13118210906475,28.52958493392024
154,6555.jpg,5124,142,63,74,0.902634956325985,0.7978379055731076,33.08374951288312,29.507932986937718
155,6855.jpg,5158,111,57,68,0.8777497458836653,0.7175745673019372,28.743203294066202,27.586749784050344
156,6999.jpg,5050,175,77,94,0.9137139089821935,0.7918497440921514,31.093778633184947,29.115084968993898
157,8176.jpg,5215,168,76,88,0.8973500026320528,0.7610382727693661,31.881976313629984,28.07189948204734
158,7053.jpg,5277,132,61,67,0.8930741089668536,0.8051640320865175,33.46695536885866,30.195385028507708
159,7071.jpg,5392,119,56,60,0.8958096025804223,0.8239271325071919,34.03633426784103,31.192355151850222
160,7944.jpg,5220,131,66,67,0.8898203401945268,0.7749254619384052,31.443783622122954,27.750319424238267
161,8217.jpg,5418,108,75,102,0.6485961378993343,0.5597174915072408,27.3886087130553,27.559506373649384
162,7721.jpg,5392,116,51,58,0.8989490276980453,0.8252259807286222,34.43747404733553,31.745184097679456
163,8117.jpg,5206,181,89,133,0.8204168000032275,0.6504575114772809,27.753267022623685,27.355401804288093
164,8928.jpg,4998,110,51,57,0.9145280543312109,0.8480875590169399,34.85028270090208,32.10926435493485
165,7901.jpg,5078,136,59,72,0.9153409798557944,0.7722680983612075,33.4327088733438,27.59770542487682
166,7178.jpg,5226,127,63,74,0.8461706343340747,0.7186234086045722,28.587307721423542,27.569989730423515
167,8247.jpg,5199,116,74,109,0.6435172804667073,0.5760637713901958,27.530921395746958,27.517946181413944
168,7654.jpg,4931,111,49,59,0.9336402385310102,0.8471628022115529,34.13071948843221,29.324494026680018
169,7931.jpg,5312,166,78,92,0.8869155335613685,0.7251181944261305,28.594149674385598,27.59750930341834
170,7999.jpg,5212,168,79,93,0.8780463573707038,0.7251064476522604,28.481164364261673,27.532142060181233
171,7929.jpg,5235,180,84,100,0.879861146621551,0.6958220474841984,28.561986855452265,27.367654403044654
172,7867.jpg,5148,133,62,69,0.8942648294079826,0.7775617424692735,30.542729129012063,27.587835297552793
173,8538.jpg,5023,161,73,85,0.8953965267524752,0.7779175019053813,32.37465780248547,30.38898372997458
174,9095.jpg,4917,141,64,76,0.9185335715913108,0.8168552251361817,33.33969956479672,29.30826448310792
175,7128.jpg,5071,132,63,69,0.9086337696926271,0.8272818236996592,33.65855027936001,29.371172227974654
176,7925.jpg,5276,186,83,97,0.8912581879988722,0.7226017393767273,31.09985214123666,28.18415533610944
177,6447.jpg,5495,90,41,46,0.93859760296664,0.8883369038312989,35.85323275218874,27.863616532033095
178,8658.jpg,5029,160,74,83,0.8916086493311669,0.7827511030972352,32.03465894388388,28.806069652070853
179,8962.jpg,5052,104,50,55,0.9328794209090812,0.8714719781331259,35.39205151531331,31.538054155347723
180,7967.jpg,5128,155,84,131,0.7809411622155702,0.6078022749652954,27.66053060613935,27.504973917040488
181,9343.jpg,5153,132,62,70,0.9342932658345733,0.862897177850819,33.65001142165124,30.914936841405627
182,7146.jpg,5186,121,60,64,0.9203654297686672,0.8544074965706581,34.93820353120605,31.464135581248517
183,7282.jpg,6274,75,39,39,0.966673663929229,0.9390366995343582,37.26781962270706,34.35832090826458
184,8185.jpg,5291,151,69,78,0.8996782839718026,0.7579916214621516,32.35769515254273,27.742831476010043
185,6393.jpg,4986,110,53,55,0.909385330552237,0.8536917419924872,35.11602954871239,32.807883424941636
186,6549.jpg,5472,131,56,66,0.8870381119708536,0.7564038913194768,33.46939953251206,27.689534782757924
187,8386.jpg,4984,185,90,104,0.9069427619741115,0.7709316924777505,30.363833657515112,28.665168811746238
188,6804.jpg,5125,126,64,69,0.8903350637613551,0.7054558750640123,29.88956003993513,27.56611140224919
189,8924.jpg,4910,110,51,56,0.9138698455426995,0.8491935009988294,34.80351240621633,31.90450004601245
190,7183.jpg,5432,118,58,57,0.8660054600034821,0.7656844447834089,33.04639042578604,27.902098207088322
191,8475.jpg,4986,175,76,97,0.9246943078056115,0.7693157303315108,31.596009015174115,28.88206519968289
192,8426.jpg,5123,166,69,87,0.8827799114401971,0.7337703218379497,31.906344720758305,29.3812962706074
193,9027.jpg,5170,148,73,80,0.8730209291602162,0.7565150303797513,27.819132137024454,27.542734433697554
194,8809.jpg,5132,168,73,88,0.8919195999853907,0.7535747997503339,31.854676164651288,29.040579532318986
195,6478.jpg,5821,72,36,34,0.9259610903350478,0.8663778454736645,34.2245804156053,27.54366311901719
196,6860.jpg,5194,116,59,68,0.8778911842640927,0.6801954167511087,29.596120609653266,27.556535907614766
197,7724.jpg,5345,106,49,52,0.8921516731513798,0.8243415830930866,34.721087955020934,32.218291954672374
198,8977.jpg,5286,122,59,65,0.920891849796823,0.8502349264196754,34.20507623614879,31.9288049334541
199,7882.jpg,5121,175,87,134,0.82789158876139,0.6854378587198796,27.658728729081226,27.3247816619398
200,7918.jpg,5246,181,91,148,0.8030220993768945,0.6700710048143305,27.605527673054997,27.367645941160124
201,7862.jpg,5322,121,52,60,0.8930097397113536,0.8021940072881127,34.157990259927416,28.693900175505206
202,8786.jpg,5428,88,40,43,0.9294234432708229,0.8788943792457403,35.94533524429594,28.232691832543004
203,7764.jpg,5773,63,33,33,0.9283764073242512,0.8713005308398155,28.67114905894242,27.357115036165787
204,8443.jpg,4939,136,63,73,0.9160918405325209,0.8187676011247311,33.5886042032378,29.774492519826925
